,Titlul,Regizor,Metascore,UserScore,Durata
0,The Leopard (re-release),Luchino Visconti,100,7.8,3 h 7 m
1,Rear Window,Alfred Hitchcock,100,8.7,1 h 52 m
2,Pitch Perfect,Jason Moore,66,7.3,1 h 52 m
3,The Mustang,Laure de Clermont-Tonnerre,77,6.7,1 h 36 m
4,The Pianist,Roman Polanski,85,8.7,2 h 30 m
5,The Last Samurai,Edward Zwick,55,8.2,2 h 34 m
6,Flower,Max Winkler,45,5.5,1 h 30 m
7,Summer 1993,Carla Simón,81,7.2,2018
8,The Dark Knight,Christopher Nolan,84,9.1,2 h 32 m
9,A Man Called Otto,Marc Forster,51,6.8,2 h 6 m
